City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Padampur,IN,29.6833,73.6167,89.13,64,100,7.85,overcast clouds
81,Tucurui,BR,-3.7661,-49.6725,80.4,61,61,0.94,broken clouds
82,Prince Rupert,CA,54.3161,-130.3201,60.89,75,75,9.22,broken clouds
83,Port Hope,US,43.9408,-82.7127,76.71,73,2,5.75,clear sky
84,Leh,IN,34.1667,77.5833,61.07,20,100,8.72,overcast clouds
85,Pimenteiras,BR,-6.2453,-41.4192,73.58,55,10,7.07,clear sky
86,Stanger,ZA,-29.3282,31.2895,55.29,87,3,5.14,clear sky
87,Carnarvon,AU,-24.8667,113.6333,68.07,94,100,9.22,overcast clouds
88,Jacareacanga,BR,-6.2222,-57.7528,77.36,56,65,1.59,broken clouds
89,Plettenberg Bay,ZA,-34.0527,23.3716,52.07,86,0,5.91,clear sky
90,Kysyl-Syr,RU,63.8986,122.7617,67.77,90,100,7.07,light rain
91,Hilo,US,19.7297,-155.09,84.27,85,41,5.01,scattered clouds
92,East London,ZA,-33.0153,27.9116,60.6,85,47,7.83,scattered clouds
93,Salalah,OM,17.0151,54.0924,75.29,100,100,6.91,mist
94,Albany,US,42.6001,-73.9662,86.65,63,34,3.74,scattered clouds
95,Barbacoas,CO,1.6715,-78.1398,74.41,96,97,2.04,light rain
96,Hithadhoo,MV,-0.6,73.0833,79.99,77,98,6.2,overcast clouds
97,Shache,CN,38.4167,77.2406,77.72,19,0,4.14,clear sky
98,Hasaki,JP,35.7333,140.8333,88.29,76,100,7.43,light rain
99,Polyarnyy,RU,69.1989,33.4478,55.63,84,84,1.1,broken clouds
100,Fort Nelson,CA,58.8053,-122.7002,77.41,30,100,3.09,overcast clouds
101,Patacamaya,BO,-17.2333,-67.9167,45.19,41,2,5.53,clear sky
102,Ulaangom,MN,49.9811,92.0667,65.43,36,6,1.79,clear sky
103,Nouadhibou,MR,20.931,-17.0347,69.78,94,20,5.75,few clouds
104,Meulaboh,ID,4.1363,96.1285,77.2,80,100,3.2,overcast clouds
105,Tessalit,ML,20.1986,1.0114,81.7,56,71,17.02,broken clouds
106,Castro,BR,-24.7911,-50.0119,56.32,93,6,4.29,clear sky
107,Bluff,NZ,-46.6,168.3333,44.8,68,100,7.54,overcast clouds
108,Sayyan,YE,15.1718,44.3244,60.85,67,100,4.32,overcast clouds
109,Vila Velha,BR,-20.3297,-40.2925,69.94,87,0,5.75,clear sky
110,Taraza,CO,7.5836,-75.4007,76.6,96,100,2.48,overcast clouds
111,Faya,SA,18.3851,42.4509,66.31,45,100,5.95,overcast clouds
112,Vardo,NO,70.3705,31.1107,53.58,100,100,8.05,overcast clouds
113,Bardiyah,LY,31.7561,25.0865,74.86,66,0,10.96,clear sky
114,Avarua,CK,-21.2078,-159.775,73.45,73,40,19.57,scattered clouds
115,Laguna,US,38.421,-121.4238,105.15,18,0,13.8,clear sky
116,Santa Maria,BR,-29.6842,-53.8069,63.86,92,78,4.61,broken clouds
117,Kemijarvi,FI,66.7131,27.4306,53.62,91,71,2.44,broken clouds
118,Talnakh,RU,69.4865,88.3972,56.21,65,100,7.92,overcast clouds
119,Holt,US,42.6406,-84.5153,80.47,62,75,13.8,broken clouds
120,Tuatapere,NZ,-46.1333,167.6833,45.7,81,100,3.76,overcast clouds
121,Kapaa,US,22.0752,-159.319,87.78,72,40,17.27,scattered clouds
122,Mayumba,GA,-3.432,10.6554,69.42,95,45,5.41,scattered clouds
123,Pouebo,NC,-20.4,164.5667,79.66,74,96,11.92,overcast clouds
124,Saint George,US,37.1041,-113.5841,107.44,15,0,13.8,clear sky
125,Ilheus,BR,-14.7889,-39.0494,69.62,94,20,6.91,few clouds
126,Hermanus,ZA,-34.4187,19.2345,49.44,78,0,6.15,clear sky
127,Mar Del Plata,AR,-38.0023,-57.5575,57.09,65,0,10.36,clear sky
128,Palana,RU,59.1167,159.9667,57.11,65,59,13.49,broken clouds
129,Hamilton,US,39.1834,-84.5333,88.81,77,40,11.5,scattered clouds
130,Narsaq,GL,60.9167,-46.05,48.42,95,31,3.53,scattered clouds
131,Kristiansund,NO,63.1115,7.732,55.45,94,100,9.22,drizzle
132,Yinchuan,CN,38.4681,106.2731,77.61,42,100,5.61,light rain
133,Zaranj,AF,30.9667,61.8833,89.08,17,0,19.08,clear sky
134,Orlik,RU,52.5178,99.825,56.14,64,69,1.1,broken clouds
135,Kavaratti,IN,10.5669,72.642,80.64,79,100,19.71,light rain
136,Biasca,CH,46.3597,8.9697,76.23,61,95,1.16,overcast clouds
137,Lazaro Cardenas,MX,17.9583,-102.2,83.21,84,12,3.36,few clouds
138,Zahir Pir,PK,28.8124,70.524,87.24,69,26,16.75,moderate rain
139,Aripuana,BR,-9.1667,-60.6333,74.39,48,0,2.08,clear sky
140,Bengkulu,ID,-3.8004,102.2655,77.77,87,18,2.86,few clouds
141,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,47,14.88,scattered clouds
142,Binga,ZW,-17.6203,27.3414,64.15,65,90,1.77,overcast clouds
143,Del Rio,US,29.3627,-100.8968,104.11,24,0,16.11,clear sky
144,Khatanga,RU,71.9667,102.5,49.69,58,100,22.3,overcast clouds
145,Sibolga,ID,1.7427,98.7792,79.02,75,55,2.51,broken clouds
146,Kodinsk,RU,58.6881,99.1844,64.42,65,61,5.97,broken clouds
147,Husavik,IS,66.0449,-17.3389,45.5,88,74,1.25,broken clouds
148,Angoche,MZ,-16.2325,39.9086,66.69,82,0,3.13,clear sky
149,New Ulm,US,44.3125,-94.4605,84.92,51,0,6.91,clear sky
150,Ahuimanu,US,21.4447,-157.8378,85.71,68,75,16.11,shower rain
151,Chuy,UY,-33.6971,-53.4616,57.2,95,81,7.52,light rain
152,Balangiga,PH,11.1097,125.3875,85.01,71,95,3.31,light rain
153,Mataura,NZ,-46.1927,168.8643,44.47,78,100,4.0,overcast clouds
154,Yellowknife,CA,62.456,-114.3525,64.35,49,19,13.56,few clouds
155,Chernyshevskiy,RU,63.0128,112.4714,60.98,72,100,3.02,overcast clouds
156,Hay River,CA,60.8156,-115.7999,57.24,72,22,6.73,few clouds
157,Ballina,AU,-28.8667,153.5667,62.02,82,100,18.72,light rain
158,Yuci,CN,37.6803,112.7319,73.15,68,0,2.24,clear sky
159,Norman Wells,CA,65.282,-126.8329,75.96,37,32,7.72,scattered clouds
160,Zhongshu,CN,24.5167,103.7667,65.89,93,100,3.09,overcast clouds
161,Upernavik,GL,72.7868,-56.1549,48.11,70,100,7.78,overcast clouds
162,Truro,GB,50.2653,-5.0544,60.08,82,7,8.05,clear sky
163,Huarmey,PE,-10.0681,-78.1522,62.65,83,19,9.82,few clouds
164,Januaria,BR,-15.4833,-44.3667,68.2,50,1,4.32,clear sky
165,Puerto Escondido,MX,15.85,-97.0667,82.04,82,100,3.98,overcast clouds
166,Provideniya,RU,64.3833,-173.3,48.31,66,75,15.66,broken clouds
167,Hambantota,LK,6.1241,81.1185,78.71,84,97,15.32,overcast clouds
168,Cherskiy,RU,68.75,161.3,47.8,39,8,18.19,clear sky
169,Savannah Bight,HN,16.45,-85.85,82.71,80,5,18.1,clear sky
170,Lata,PT,40.1629,-8.3327,59.72,86,0,2.28,clear sky
171,Grand Gaube,MU,-20.0064,57.6608,66.6,76,91,5.99,light rain
172,Fairbanks,US,64.8378,-147.7164,69.76,48,75,12.66,broken clouds
173,Olga,RU,43.7444,135.2892,69.15,77,84,3.09,broken clouds
174,Itarema,BR,-2.9248,-39.9167,76.73,78,44,11.18,scattered clouds
175,Snezhnogorsk,RU,69.1933,33.2531,53.38,85,88,1.25,overcast clouds
176,Karratha,AU,-20.7377,116.8463,72.14,46,5,5.01,clear sky
177,Kichera,RU,55.9375,110.0997,61.92,77,78,1.14,broken clouds
178,Tucumcari,US,35.1717,-103.725,89.44,27,100,29.93,thunderstorm with light rain
179,Vaini,TO,-21.2,-175.2,74.34,78,64,14.92,broken clouds
180,Sao Filipe,CV,14.8961,-24.4956,76.05,88,71,4.27,broken clouds
181,San Lorenzo,PY,-25.3333,-57.5333,70.74,73,0,4.61,clear sky
182,Tiksi,RU,71.6872,128.8694,40.6,83,12,22.03,few clouds
183,Byron Bay,AU,-28.65,153.6167,61.95,74,100,17.76,moderate rain
184,Kirakira,SB,-10.4544,161.9205,85.21,68,31,7.63,scattered clouds
185,Mao,ES,39.8885,4.2658,75.76,94,0,8.05,clear sky
186,Saldanha,ZA,-33.0117,17.9442,51.51,69,0,8.05,clear sky
187,Sokoto,NG,13.0609,5.239,76.39,81,100,13.18,overcast clouds
188,Margherita,IN,27.2833,95.6833,76.26,98,100,0.87,overcast clouds
189,Calama,CL,-22.4667,-68.9333,55.89,9,94,9.22,overcast clouds
